flight_id,airline,source,destination,departure_time,arrival_time,duration,duration_minutes,route,is_anomaly,invalid_flight_id
6F206,IndiGo,DEL,BOM,2026-04-19T16:39:41.703Z,2026-04-19T20:59:41.703Z,1899-12-31 04:20:00.0000000,260,DEL - BOM,false,false
SJ161,SpiceJet,MAA,BLR,2026-04-19T16:22:41.703Z,2026-04-19T17:04:41.703Z,1899-12-31 00:42:00.0000000,42,MAA - BLR,false,false
AI168,Unknown,DEL,CCU,2026-04-19T15:50:41.703Z,2026-04-19T20:20:41.703Z,1899-12-31 04:30:00.0000000,270,DEL - CCU,false,false
UK110,Vistara,HYD,DEL,2026-04-19T15:26:41.702Z,2026-04-19T20:13:41.702Z,1899-12-31 04:47:00.0000000,287,HYD - DEL,false,false
6F020,IndiGo,BOM,HYD,2026-04-19T14:58:41.701Z,2026-04-19T16:43:41.701Z,1899-12-31 01:45:00.0000000,105,BOM - HYD,false,false
AI083,Air India,DEL,BOM,2026-04-19T12:54:41.702Z,2026-04-19T13:37:41.702Z,1899-12-31 00:43:00.0000000,43,DEL - BOM,false,false
6F235,IndiGo,HYD,MAA,2026-04-19T11:06:41.704Z,2026-04-19T13:51:41.704Z,1899-12-31 02:45:00.0000000,165,HYD - MAA,false,false
UK111,Vistara,MAA,BLR,2026-04-19T11:06:41.702Z,2026-04-19T12:20:41.702Z,1899-12-31 01:14:00.0000000,74,MAA - BLR,false,false
6F172,IndiGo,BOM,BLR,2026-04-19T09:53:41.703Z,2026-04-19T14:46:41.703Z,1899-12-31 04:53:00.0000000,293,BOM - BLR,false,false
AI255,Air India,MAA,CCU,2026-04-19T08:45:41.704Z,2026-04-19T13:12:41.704Z,1899-12-31 04:27:00.0000000,267,MAA - CCU,false,false
SJ121,SpiceJet,CCU,DEL,2026-04-19T05:32:41.702Z,2026-04-19T06:47:41.702Z,1899-12-31 01:15:00.0000000,75,CCU - DEL,false,false
UK142,Vistara,BLR,DEL,2026-04-19T03:03:41.703Z,2026-04-19T07:13:41.703Z,1899-12-31 04:10:00.0000000,250,BLR - DEL,false,false
UK097,Vistara,HYD,BOM,2026-04-19T00:49:41.702Z,2026-04-19T05:00:41.702Z,1899-12-31 04:11:00.0000000,251,HYD - BOM,false,false
AI067,Air India,HYD,DEL,2026-04-18T23:36:41.701Z,2026-04-19T03:09:41.701Z,1899-12-31 03:33:00.0000000,213,HYD - DEL,false,false
SJ200,SpiceJet,BOM,DEL,2026-04-18T23:24:41.703Z,2026-04-19T02:11:41.703Z,1899-12-31 02:47:00.0000000,167,BOM - DEL,false,false
6F042,IndiGo,HYD,DEL,2026-04-18T22:35:41.701Z,2026-04-19T02:41:41.701Z,1899-12-31 04:06:00.0000000,246,HYD - DEL,false,false
SJ188,SpiceJet,BLR,BOM,2026-04-18T22:15:41.703Z,2026-04-18T22:55:41.703Z,1899-12-31 00:40:00.0000000,40,BLR - BOM,false,false
6F021,IndiGo,BLR,MAA,2026-04-18T21:23:41.701Z,2026-04-19T01:25:41.701Z,1899-12-31 04:02:00.0000000,242,BLR - MAA,false,false
AI001,Air India,DEL,HYD,2026-04-18T19:00:41.700Z,2026-04-18T22:03:41.700Z,1899-12-31 03:03:00.0000000,183,DEL - HYD,false,false
SJ216,SpiceJet,BOM,CCU,2026-04-18T18:35:41.703Z,2026-04-18T21:31:41.703Z,1899-12-31 02:56:00.0000000,176,BOM - CCU,false,false
SJ071,SpiceJet,CCU,MAA,2026-04-18T17:43:41.701Z,2026-04-18T19:32:41.701Z,1899-12-31 01:49:00.0000000,109,CCU - MAA,false,false
6F157,IndiGo,MAA,CCU,2026-04-18T16:37:41.703Z,2026-04-18T18:04:41.703Z,1899-12-31 01:27:00.0000000,87,MAA - CCU,false,false
SJ132,SpiceJet,MAA,DEL,2026-04-18T14:44:41.702Z,2026-04-18T15:36:41.702Z,1899-12-31 00:52:00.0000000,52,MAA - DEL,false,false
AI092,Air India,CCU,BOM,2026-04-18T13:36:41.702Z,2026-04-18T16:20:41.702Z,1899-12-31 02:44:00.0000000,164,CCU - BOM,false,false
SJ008,SpiceJet,HYD,BLR,2026-04-18T10:53:41.701Z,2026-04-18T15:48:41.701Z,1899-12-31 04:55:00.0000000,295,HYD - BLR,false,false
6F266,Unknown,CCU,MAA,2026-04-18T09:49:41.703Z,2026-04-18T11:17:41.703Z,1899-12-31 01:28:00.0000000,88,CCU - MAA,false,false
6F033,IndiGo,DEL,HYD,2026-04-18T07:08:41.701Z,2026-04-18T09:08:41.701Z,1899-12-31 02:00:00.0000000,120,DEL - HYD,false,false
6F006,IndiGo,BOM,BLR,2026-04-18T03:06:41.701Z,2026-04-18T05:06:42.000Z,1899-12-31 02:00:00.2990000,120,BOM - BLR,false,false
AI006,Air India,BOM,BLR,2026-04-18T03:04:41.701Z,2026-04-18T05:54:41.701Z,1899-12-31 02:50:00.0000000,170,BOM - BLR,false,false
UK054,Vistara,BLR,BOM,2026-04-18T00:37:41.701Z,2026-04-18T05:30:41.701Z,1899-12-31 04:53:00.0000000,293,BLR - BOM,false,false
UK086,Vistara,CCU,BLR,2026-04-17T23:55:41.702Z,2026-04-18T02:27:41.702Z,1899-12-31 02:32:00.0000000,152,CCU - BLR,false,false
6F032,IndiGo,DEL,BOM,2026-04-17T23:43:41.701Z,2026-04-18T02:22:41.701Z,1899-12-31 02:39:00.0000000,159,DEL - BOM,false,false
UK147,Vistara,CCU,DEL,2026-04-17T23:35:41.703Z,2026-04-18T02:55:41.703Z,1899-12-31 03:20:00.0000000,200,CCU - DEL,false,false
AI035,Air India,DEL,MAA,2026-04-17T23:17:41.701Z,2026-04-18T00:48:41.701Z,1899-12-31 01:31:00.0000000,91,DEL - MAA,false,false
6F205,IndiGo,HYD,BOM,2026-04-17T22:16:41.703Z,2026-04-18T00:02:41.703Z,1899-12-31 01:46:00.0000000,106,HYD - BOM,false,false
6F054,IndiGo,HYD,BLR,2026-04-17T22:00:41.701Z,2026-04-18T01:25:41.701Z,1899-12-31 03:25:00.0000000,205,HYD - BLR,false,false
AI021,Air India,DEL,HYD,2026-04-17T21:39:41.701Z,2026-04-18T01:38:41.701Z,1899-12-31 03:59:00.0000000,239,DEL - HYD,false,false
SJ120,SpiceJet,MAA,BLR,2026-04-17T21:19:41.702Z,2026-04-18T00:56:41.702Z,1899-12-31 03:37:00.0000000,217,MAA - BLR,false,false
SJ212,Unknown,MAA,BLR,2026-04-17T19:49:41.703Z,2026-04-17T21:44:41.703Z,1899-12-31 01:55:00.0000000,115,MAA - BLR,false,false
UK049,Vistara,HYD,BOM,2026-04-17T19:47:41.701Z,2026-04-17T20:32:41.701Z,1899-12-31 00:45:00.0000000,45,HYD - BOM,false,false
AI064,Air India,BLR,MAA,2026-04-17T18:24:41.701Z,2026-04-17T20:07:41.701Z,1899-12-31 01:43:00.0000000,103,BLR - MAA,false,false
SJ240,SpiceJet,BOM,HYD,2026-04-17T16:42:41.704Z,2026-04-17T20:21:41.704Z,1899-12-31 03:39:00.0000000,219,BOM - HYD,false,false
SJ184,SpiceJet,CCU,DEL,2026-04-17T16:32:41.703Z,2026-04-17T21:00:41.703Z,1899-12-31 04:28:00.0000000,268,CCU - DEL,false,false
AI087,Air India,MAA,DEL,2026-04-17T16:32:41.702Z,2026-04-17T20:30:41.702Z,1899-12-31 03:58:00.0000000,238,MAA - DEL,false,false
AI210,Air India,BLR,BOM,2026-04-17T16:13:41.703Z,2026-04-17T18:50:41.703Z,1899-12-31 02:37:00.0000000,157,BLR - BOM,false,false
6F162,IndiGo,CCU,BOM,2026-04-17T14:50:41.703Z,2026-04-17T17:44:41.703Z,1899-12-31 02:54:00.0000000,174,CCU - BOM,false,false
6F057,IndiGo,MAA,DEL,2026-04-17T12:32:41.701Z,2026-04-17T15:50:41.701Z,1899-12-31 03:18:00.0000000,198,MAA - DEL,false,false
SJ010,SpiceJet,CCU,MAA,2026-04-20T23:38:41.701Z,2026-04-21T02:32:41.701Z,1899-12-31 02:54:00.0000000,174,CCU - MAA,false,false
UK094,Vistara,BOM,CCU,2026-04-20T23:26:41.702Z,2026-04-21T01:11:41.702Z,1899-12-31 01:45:00.0000000,105,BOM - CCU,false,false
AI058,Air India,BOM,CCU,2026-04-20T22:40:41.701Z,2026-04-21T00:18:41.701Z,1899-12-31 01:38:00.0000000,98,BOM - CCU,false,false
UK003,Unknown,HYD,DEL,2026-04-20T21:41:41.700Z,2026-04-21T02:19:41.700Z,1899-12-31 04:38:00.0000000,278,HYD - DEL,false,false
UK026,Vistara,HYD,MAA,2026-04-20T21:38:41.701Z,2026-04-20T23:44:41.701Z,1899-12-31 02:06:00.0000000,126,HYD - MAA,false,false
SJ214,SpiceJet,BOM,MAA,2026-04-20T20:54:41.703Z,2026-04-20T22:10:41.703Z,1899-12-31 01:16:00.0000000,76,BOM - MAA,false,false
AI179,Air India,HYD,BOM,2026-04-20T20:41:41.703Z,2026-04-21T01:19:41.703Z,1899-12-31 04:38:00.0000000,278,HYD - BOM,false,false
UK059,Vistara,HYD,MAA,2026-04-20T20:33:41.701Z,2026-04-20T22:10:41.701Z,1899-12-31 01:37:00.0000000,97,HYD - MAA,false,false
6F190,IndiGo,DEL,MAA,2026-04-20T20:02:41.703Z,2026-04-21T00:36:41.703Z,1899-12-31 04:34:00.0000000,274,DEL - MAA,false,false
6F028,IndiGo,HYD,CCU,2026-04-20T19:49:41.701Z,2026-04-20T21:49:41.701Z,1899-12-31 02:00:00.0000000,120,HYD - CCU,false,false
UK209,Unknown,MAA,BLR,2026-04-20T19:02:41.704Z,2026-04-20T21:47:41.704Z,1899-12-31 02:45:00.0000000,165,MAA - BLR,false,false
6F017,IndiGo,CCU,BOM,2026-04-20T15:25:41.701Z,2026-04-20T18:06:41.701Z,1899-12-31 02:41:00.0000000,161,CCU - BOM,false,false
SJ196,SpiceJet,DEL,HYD,2026-04-20T14:58:41.703Z,2026-04-20T17:44:41.703Z,1899-12-31 02:46:00.0000000,166,DEL - HYD,false,false
SJ218,SpiceJet,DEL,HYD,2026-04-20T11:58:41.703Z,2026-04-20T15:03:41.703Z,1899-12-31 03:05:00.0000000,185,DEL - HYD,false,false
AI019,Air India,BOM,CCU,2026-04-20T10:49:41.701Z,2026-04-20T11:51:41.701Z,1899-12-31 01:02:00.0000000,62,BOM - CCU,false,false
AI213,Air India,HYD,CCU,2026-04-20T08:03:41.703Z,2026-04-20T09:14:41.703Z,1899-12-31 01:11:00.0000000,71,HYD - CCU,false,false
AI034,Air India,DEL,BOM,2026-04-20T05:48:41.701Z,2026-04-20T10:31:41.701Z,1899-12-31 04:43:00.0000000,283,DEL - BOM,false,false
SJ083,SpiceJet,MAA,BLR,2026-04-20T05:13:41.702Z,2026-04-20T08:17:41.702Z,1899-12-31 03:04:00.0000000,184,MAA - BLR,false,false
6F230,IndiGo,CCU,BLR,2026-04-20T03:34:41.704Z,2026-04-20T06:47:41.704Z,1899-12-31 03:13:00.0000000,193,CCU - BLR,false,false
UK165,Vistara,DEL,BLR,2026-04-20T01:51:41.703Z,2026-04-20T06:04:41.703Z,1899-12-31 04:13:00.0000000,253,DEL - BLR,false,false
UK222,Vistara,BOM,CCU,2026-04-20T01:22:41.704Z,2026-04-20T02:57:41.704Z,1899-12-31 01:35:00.0000000,95,BOM - CCU,false,false
AI226,Unknown,BLR,HYD,2026-04-20T01:19:41.703Z,2026-04-20T04:08:41.703Z,1899-12-31 02:49:00.0000000,169,BLR - HYD,false,false
AI015,Air India,BLR,CCU,2026-04-19T23:21:41.701Z,2026-04-20T01:15:41.701Z,1899-12-31 01:54:00.0000000,114,BLR - CCU,false,false
SJ194,SpiceJet,CCU,DEL,2026-04-19T22:46:41.703Z,2026-04-20T02:31:41.703Z,1899-12-31 03:45:00.0000000,225,CCU - DEL,false,false
6F260,Unknown,CCU,DEL,2026-04-19T21:51:41.702Z,2026-04-20T01:14:41.702Z,1899-12-31 03:23:00.0000000,203,CCU - DEL,false,false
AI108,Air India,BLR,CCU,2026-04-19T21:32:41.702Z,2026-04-20T00:17:41.702Z,1899-12-31 02:45:00.0000000,165,BLR - CCU,false,false
SJ036,SpiceJet,DEL,HYD,2026-04-19T20:24:41.701Z,2026-04-19T23:54:41.701Z,1899-12-31 03:30:00.0000000,210,DEL - HYD,false,false
6F176,IndiGo,CCU,DEL,2026-04-19T20:23:42.000Z,2026-04-19T23:23:42.000Z,1899-12-31 03:00:00.0000000,180,CCU - DEL,false,false
6F148,IndiGo,CCU,BOM,2026-04-19T20:23:41.703Z,2026-04-19T22:30:41.703Z,1899-12-31 02:07:00.0000000,127,CCU - BOM,false,false
SJ208,SpiceJet,DEL,HYD,2026-04-19T18:32:41.703Z,2026-04-19T19:33:41.703Z,1899-12-31 01:01:00.0000000,61,DEL - HYD,false,false
UK061,Vistara,BLR,BOM,2026-04-19T17:58:41.701Z,2026-04-19T19:48:41.701Z,1899-12-31 01:50:00.0000000,110,BLR - BOM,false,false
UK204,Vistara,BLR,DEL,2026-04-19T14:46:41.703Z,2026-04-19T16:24:41.703Z,1899-12-31 01:38:00.0000000,98,BLR - DEL,false,false
AI100,Unknown,CCU,BOM,2026-04-19T14:42:41.702Z,2026-04-19T18:22:41.702Z,1899-12-31 03:40:00.0000000,220,CCU - BOM,false,false
UK179,Vistara,DEL,HYD,2026-04-19T14:25:41.703Z,2026-04-19T19:15:41.703Z,1899-12-31 04:50:00.0000000,290,DEL - HYD,false,false
SJ107,SpiceJet,BOM,MAA,2026-04-19T14:10:41.702Z,2026-04-19T18:38:41.702Z,1899-12-31 04:28:00.0000000,268,BOM - MAA,false,false
SJ027,Unknown,BOM,MAA,2026-04-19T12:50:41.701Z,2026-04-19T17:13:41.701Z,1899-12-31 04:23:00.0000000,263,BOM - MAA,false,false
6F052,IndiGo,BOM,CCU,2026-04-19T09:13:41.701Z,2026-04-19T12:02:41.701Z,1899-12-31 02:49:00.0000000,169,BOM - CCU,false,false
AI028,Air India,HYD,BOM,2026-04-19T07:53:41.701Z,2026-04-19T08:35:41.701Z,1899-12-31 00:42:00.0000000,42,HYD - BOM,false,false
UK095,Vistara,BOM,MAA,2026-04-19T05:22:41.702Z,2026-04-19T07:36:41.702Z,1899-12-31 02:14:00.0000000,134,BOM - MAA,false,false
6F063,IndiGo,DEL,HYD,2026-04-19T04:42:41.701Z,2026-04-19T07:31:41.701Z,1899-12-31 02:49:00.0000000,169,DEL - HYD,false,false
AI020,Unknown,BOM,BLR,2026-04-19T03:53:41.701Z,2026-04-19T06:21:41.701Z,1899-12-31 02:28:00.0000000,148,BOM - BLR,false,false
AI249,Air India,BLR,HYD,2026-04-19T03:38:41.704Z,2026-04-19T06:27:41.704Z,1899-12-31 02:49:00.0000000,169,BLR - HYD,false,false
6F079,IndiGo,MAA,HYD,2026-04-19T02:14:41.702Z,2026-04-19T06:18:41.702Z,1899-12-31 04:04:00.0000000,244,MAA - HYD,false,false
6F214,IndiGo,BOM,CCU,2026-04-19T01:21:41.703Z,2026-04-19T05:20:41.703Z,1899-12-31 03:59:00.0000000,239,BOM - CCU,false,false
SJ072,SpiceJet,DEL,HYD,2026-04-19T01:18:41.701Z,2026-04-19T04:08:41.701Z,1899-12-31 02:50:00.0000000,170,DEL - HYD,false,false
6F117,IndiGo,CCU,DEL,2026-04-19T00:46:41.702Z,2026-04-19T01:51:41.702Z,1899-12-31 01:05:00.0000000,65,CCU - DEL,false,false
UK126,Vistara,CCU,DEL,2026-04-18T22:37:41.702Z,2026-04-19T00:03:41.702Z,1899-12-31 01:26:00.0000000,86,CCU - DEL,false,false
AI169,Air India,CCU,DEL,2026-04-18T21:21:41.703Z,2026-04-19T01:34:41.703Z,1899-12-31 04:13:00.0000000,253,CCU - DEL,false,false
6F023,IndiGo,MAA,BLR,2026-04-18T20:18:41.701Z,2026-04-19T00:14:41.701Z,1899-12-31 03:56:00.0000000,236,MAA - BLR,false,false
UK088,Unknown,MAA,BLR,2026-04-18T19:16:41.702Z,2026-04-18T23:36:41.702Z,1899-12-31 04:20:00.0000000,260,MAA - BLR,false,false
SJ102,SpiceJet,MAA,CCU,2026-04-18T17:26:41.702Z,2026-04-18T18:58:41.702Z,1899-12-31 01:32:00.0000000,92,MAA - CCU,false,false
SJ189,SpiceJet,HYD,BLR,2026-04-18T17:05:41.703Z,2026-04-18T22:01:41.703Z,1899-12-31 04:56:00.0000000,296,HYD - BLR,false,false
6F039,IndiGo,MAA,CCU,2026-04-18T16:43:41.701Z,2026-04-18T21:01:41.701Z,1899-12-31 04:18:00.0000000,258,MAA - CCU,false,false
6F257,Unknown,MAA,CCU,2026-04-18T16:04:41.704Z,2026-04-18T19:55:41.704Z,1899-12-31 03:51:00.0000000,231,MAA - CCU,false,false
SJ135,SpiceJet,MAA,CCU,2026-04-18T16:03:41.702Z,2026-04-18T19:48:41.702Z,1899-12-31 03:45:00.0000000,225,MAA - CCU,false,false
UK057,Vistara,CCU,DEL,2026-04-18T15:25:41.701Z,2026-04-18T20:04:41.701Z,1899-12-31 04:39:00.0000000,279,CCU - DEL,false,false
SJ159,SpiceJet,CCU,DEL,2026-04-18T12:22:41.703Z,2026-04-18T14:05:41.703Z,1899-12-31 01:43:00.0000000,103,CCU - DEL,false,false
UK009,Vistara,BOM,DEL,2026-04-18T11:34:41.701Z,2026-04-18T13:41:41.701Z,1899-12-31 02:07:00.0000000,127,BOM - DEL,false,false
UK139,Unknown,BLR,MAA,2026-04-18T10:54:41.703Z,2026-04-18T14:31:41.703Z,1899-12-31 03:37:00.0000000,217,BLR - MAA,false,false
AI111,Air India,MAA,CCU,2026-04-18T07:40:41.702Z,2026-04-18T10:39:41.702Z,1899-12-31 02:59:00.0000000,179,MAA - CCU,false,false
UK137,Vistara,BOM,MAA,2026-04-18T07:04:41.703Z,2026-04-18T09:14:41.703Z,1899-12-31 02:10:00.0000000,130,BOM - MAA,false,false
SJ101,SpiceJet,CCU,DEL,2026-04-18T05:17:41.702Z,2026-04-18T06:57:41.702Z,1899-12-31 01:40:00.0000000,100,CCU - DEL,false,false
AI089,Air India,CCU,BOM,2026-04-18T04:05:41.702Z,2026-04-18T04:47:41.702Z,1899-12-31 00:42:00.0000000,42,CCU - BOM,false,false
AI054,Air India,HYD,CCU,2026-04-18T03:44:41.701Z,2026-04-18T08:10:41.701Z,1899-12-31 04:26:00.0000000,266,HYD - CCU,false,false
AI195,Air India,CCU,MAA,2026-04-18T02:58:41.703Z,2026-04-18T04:57:41.703Z,1899-12-31 01:59:00.0000000,119,CCU - MAA,false,false
SJ009,SpiceJet,CCU,BLR,2026-04-18T02:48:41.701Z,2026-04-18T04:23:41.701Z,1899-12-31 01:35:00.0000000,95,CCU - BLR,false,false
AI231,Air India,DEL,HYD,2026-04-17T21:52:41.704Z,2026-04-17T23:51:41.704Z,1899-12-31 01:59:00.0000000,119,DEL - HYD,false,false
6F186,IndiGo,HYD,BOM,2026-04-17T21:48:41.703Z,2026-04-18T02:02:41.703Z,1899-12-31 04:14:00.0000000,254,HYD - BOM,false,false
6F223,IndiGo,MAA,BLR,2026-04-17T16:47:41.704Z,2026-04-17T17:21:41.704Z,1899-12-31 00:34:00.0000000,34,MAA - BLR,false,false
6F218,IndiGo,BLR,BOM,2026-04-17T15:16:41.704Z,2026-04-17T19:03:41.704Z,1899-12-31 03:47:00.0000000,227,BLR - BOM,false,false
6F011,IndiGo,MAA,BLR,2026-04-17T15:16:41.701Z,2026-04-17T17:16:42.000Z,1899-12-31 02:00:00.2990000,120,MAA - BLR,false,false
AI184,Air India,BOM,CCU,2026-04-17T15:03:41.703Z,2026-04-17T17:03:42.000Z,1899-12-31 02:00:00.2970000,120,BOM - CCU,false,false
SJ232,SpiceJet,MAA,BLR,2026-04-17T15:02:41.704Z,2026-04-17T19:22:41.704Z,1899-12-31 04:20:00.0000000,260,MAA - BLR,false,false
SJ069,SpiceJet,HYD,BLR,2026-04-17T12:53:41.701Z,2026-04-17T14:17:41.701Z,1899-12-31 01:24:00.0000000,84,HYD - BLR,false,false
AI060,Air India,DEL,HYD,2026-04-20T21:58:41.701Z,2026-04-20T23:51:41.701Z,1899-12-31 01:53:00.0000000,113,DEL - HYD,false,false
UK200,Vistara,CCU,DEL,2026-04-20T20:54:41.703Z,2026-04-20T22:45:41.703Z,1899-12-31 01:51:00.0000000,111,CCU - DEL,false,false
SJ049,SpiceJet,CCU,DEL,2026-04-20T20:26:41.701Z,2026-04-21T00:26:41.701Z,1899-12-31 04:00:00.0000000,240,CCU - DEL,false,false
UK181,Vistara,MAA,DEL,2026-04-20T16:44:41.703Z,2026-04-20T19:26:41.703Z,1899-12-31 02:42:00.0000000,162,MAA - DEL,false,false
SJ068,SpiceJet,BLR,BOM,2026-04-20T16:44:41.701Z,2026-04-20T18:48:41.701Z,1899-12-31 02:04:00.0000000,124,BLR - BOM,false,false
6F188,IndiGo,DEL,HYD,2026-04-20T14:57:41.703Z,2026-04-20T19:39:41.703Z,1899-12-31 04:42:00.0000000,282,DEL - HYD,false,false
AI025,Air India,HYD,DEL,2026-04-20T14:46:41.701Z,2026-04-20T17:11:41.701Z,1899-12-31 02:25:00.0000000,145,HYD - DEL,false,false
6F259,Unknown,BOM,DEL,2026-04-20T14:10:41.703Z,2026-04-20T15:21:41.703Z,1899-12-31 01:11:00.0000000,71,BOM - DEL,false,false
SJ167,SpiceJet,MAA,CCU,2026-04-20T13:18:41.703Z,2026-04-20T14:12:41.703Z,1899-12-31 00:54:00.0000000,54,MAA - CCU,false,false
SJ226,SpiceJet,HYD,BOM,2026-04-20T08:47:41.704Z,2026-04-20T12:54:41.704Z,1899-12-31 04:07:00.0000000,247,HYD - BOM,false,false
UK229,Unknown,HYD,DEL,2026-04-20T07:40:41.704Z,2026-04-20T11:57:41.704Z,1899-12-31 04:17:00.0000000,257,HYD - DEL,false,false
6F133,IndiGo,MAA,BLR,2026-04-20T04:38:41.702Z,2026-04-20T06:25:41.702Z,1899-12-31 01:47:00.0000000,107,MAA - BLR,false,false
AI205,Air India,BLR,BOM,2026-04-20T03:26:41.703Z,2026-04-20T05:14:41.703Z,1899-12-31 01:48:00.0000000,108,BLR - BOM,false,false
SJ098,SpiceJet,HYD,MAA,2026-04-20T03:02:41.702Z,2026-04-20T03:37:41.702Z,1899-12-31 00:35:00.0000000,35,HYD - MAA,false,false
6F156,IndiGo,MAA,BOM,2026-04-20T02:23:41.703Z,2026-04-20T04:57:41.703Z,1899-12-31 02:34:00.0000000,154,MAA - BOM,false,false
6F193,IndiGo,BOM,MAA,2026-04-20T00:34:41.703Z,2026-04-20T02:32:41.703Z,1899-12-31 01:58:00.0000000,118,BOM - MAA,false,false
6F010,IndiGo,DEL,BLR,2026-04-19T23:53:41.701Z,2026-04-20T03:44:41.701Z,1899-12-31 03:51:00.0000000,231,DEL - BLR,false,false
AI235,Air India,BLR,HYD,2026-04-19T22:45:41.704Z,2026-04-20T02:12:41.704Z,1899-12-31 03:27:00.0000000,207,BLR - HYD,false,false
6F075,IndiGo,BOM,CCU,2026-04-19T22:20:41.702Z,2026-04-20T03:02:41.702Z,1899-12-31 04:42:00.0000000,282,BOM - CCU,false,false
UK227,Vistara,BOM,HYD,2026-04-19T21:57:41.704Z,2026-04-20T01:47:41.704Z,1899-12-31 03:50:00.0000000,230,BOM - HYD,false,false
UK159,Vistara,CCU,BLR,2026-04-19T20:45:41.703Z,2026-04-19T23:32:41.703Z,1899-12-31 02:47:00.0000000,167,CCU - BLR,false,false
UK149,Vistara,MAA,DEL,2026-04-19T18:22:41.703Z,2026-04-19T23:08:41.703Z,1899-12-31 04:46:00.0000000,286,MAA - DEL,false,false
SJ109,SpiceJet,BOM,DEL,2026-04-19T17:24:41.702Z,2026-04-19T20:28:41.702Z,1899-12-31 03:04:00.0000000,184,BOM - DEL,false,false
AI224,Air India,DEL,HYD,2026-04-19T16:51:41.703Z,2026-04-19T21:36:41.703Z,1899-12-31 04:45:00.0000000,285,DEL - HYD,false,false
AI206,Air India,CCU,MAA,2026-04-19T16:30:41.703Z,2026-04-19T20:01:41.703Z,1899-12-31 03:31:00.0000000,211,CCU - MAA,false,false
UK023,Vistara,DEL,MAA,2026-04-19T14:15:41.701Z,2026-04-19T19:03:41.701Z,1899-12-31 04:48:00.0000000,288,DEL - MAA,false,false
6F175,IndiGo,MAA,CCU,2026-04-19T13:18:41.703Z,2026-04-19T15:13:41.703Z,1899-12-31 01:55:00.0000000,115,MAA - CCU,false,false
6F013,IndiGo,BOM,CCU,2026-04-19T13:15:41.701Z,2026-04-19T18:05:41.701Z,1899-12-31 04:50:00.0000000,290,BOM - CCU,false,false
6F135,IndiGo,MAA,HYD,2026-04-19T12:59:41.702Z,2026-04-19T13:45:41.702Z,1899-12-31 00:46:00.0000000,46,MAA - HYD,false,false
UK102,Vistara,HYD,CCU,2026-04-19T11:58:41.702Z,2026-04-19T14:01:41.702Z,1899-12-31 02:03:00.0000000,123,HYD - CCU,false,false
